"만 0~6세
- 몇 개월이면 앞에 0.을 붙이기
- 몇 세 이면 그냥 숫자 기입",,https://www.notion.so/UX-_-33bb0573f8e2805cb57ce856c4417514?source=copy_link,,,,,,,,,
"예) 3세 -> 3
16개월 -> 0.16",,"울타리형 / 가이드형 / 친구형 / 자율존중형

예)",,예) 10분 아이컨텍,상세 미션 설명,예) 정서적 안정감,사회성 / 언어 / 인지 / 신체 발달,,,,
아이 나이,아이 나잇대별 마일스톤 목표,부모 유형,미션 수행 길이,미션 요약,미션,효과,태그1,자료 출처*,,,[태그1] 카테고리
30,또래와 함께 놀이하는 초기 사회성,,5,나란히 놀이하기,부모가 옆에서 같은 놀이를 하며 아이가 함께 참여하도록 유도하기,다른 사람과 같은 공간에서 활동하는 경험이 늘어난다,사회성 / 감정,,,,#사회성
30,또래와 함께 놀이하는 초기 사회성,,5,따라하기 놀이,"아이가 하는 행동을 따라하고, 아이도 부모 행동을 따라하도록 유도하기",모방을 통해 상호작용 능력이 발달한다,사회성 / 감정,,,,#언어
30,또래와 함께 놀이하는 초기 사회성,,5,같이 놀이 시작하기,“같이 해볼까?”라고 말하며 놀이를 함께 시작해보기,함께하는 놀이 경험이 자연스럽게 형성된다,사회성 / 감정,,,,#인지
30,자신의 행동을 보여주며 주목을 끄는 능력,,4,보여주기 반응하기,아이가 무언가 보여줄 때 눈을 맞추고 반응해주기,자기 표현에 대한 긍정 경험이 쌓인다,사회성 / 감정,,,,#신체 발달
30,자신의 행동을 보여주며 주목을 끄는 능력,,5,다시 보여주기 유도하기,“한 번 더 보여줄래?”라고 말해 아이가 반복해서 보여주게 하기,표현 행동을 반복하며 자신감이 향상된다,사회성 / 감정,,,,
30,자신의 행동을 보여주며 주목을 끄는 능력,,4,칭찬 반응하기,"아이가 행동을 보여줄 때 “와, 잘했어!”라고 반응해주기",사회적 반응에 대한 긍정적 경험이 강화된다,사회성 / 감정,,,,
30,간단한 지시를 이해하고 따르는 능력,,5,장난감 치우기,“장난감 치우자”라고 말하고 함께 정리하기,말과 행동을 연결하는 능력이 발달한다,사회성 / 감정,,,,
30,간단한 지시를 이해하고 따르는 능력,,4,간단한 심부름 하기,“이거 가져다줄래?” 같은 간단한 부탁을 해보기,요청을 이해하고 행동으로 옮기는 경험이 쌓인다,사회성 / 감정,,,,
30,간단한 지시를 이해하고 따르는 능력,,5,놀이 마무리하기,“이제 끝내고 정리하자”라고 말하고 마무리해보기,일상 흐름 속에서 지시를 따르는 능력이 향상된다,사회성 / 감정,,,,
30,또래와 함께 놀이하는 초기 사회성,,5,번갈아 하기,공이나 장난감을 번갈아 사용하며 놀이하기,순서를 기다리고 함께하는 경험이 형성된다,사회성 / 감정,,,,
30,사물의 이름을 말하는 단어 확장 능력,,4,이거 뭐야 놀이,집 안 물건을 가리키며 “이거 뭐야?”라고 물어보기,단어를 떠올리고 말로 표현하는 능력이 발달한다,언어 / 소통,,,,
30,사물의 이름을 말하는 단어 확장 능력,,5,그림책 이름 말하기,그림책을 보며 “이건 뭐지?”라고 물어보고 이름을 말하게 하기,이미지와 단어를 연결하는 능력이 향상된다,언어 / 소통,,,,
30,두 단어 이상 문장 표현 능력,,5,두 단어 문장 따라하기,"“강아지 달린다”, “엄마 간다”처럼 짧은 문장을 말해주고 따라하게 하기",단어를 조합해 문장으로 표현하는 능력이 자라난다,언어 / 소통,,,,
30,두 단어 이상 문장 표현 능력,,5,말 확장해주기,아이가 한 단어로 말하면 두 단어 문장으로 확장해 말해주기,자연스럽게 문장 구조를 익히는 데 도움이 된다,언어 / 소통,,,,
30,두 단어 이상 문장 표현 능력,,4,행동 말하기,"아이가 하는 행동을 보고 “뛰고 있어”, “먹고 있어”라고 말해주기",동작과 언어를 연결하는 능력이 발달한다,언어 / 소통,,,,
30,자기 관련 대명사 사용 능력,,4,누가 했어 놀이,행동 후 “누가 했어?”라고 물어 “내가”라고 답하도록 유도하기,자기 표현과 대명사 사용이 늘어난다,언어 / 소통,,,,
30,자기 관련 대명사 사용 능력,,4,우리 같이 말하기,“우리 같이 하자”와 같은 표현을 반복해서 사용해보기,관계를 표현하는 언어 사용이 발달한다,언어 / 소통,,,,
30,사물의 이름을 말하는 단어 확장 능력,,5,가족 이름 말하기,가족 사진을 보며 “이건 누구야?”라고 물어보기,사람과 이름을 연결하는 단어 사용이 증가한다,언어 / 소통,,,,
30,두 단어 이상 문장 표현 능력,,5,선택 말하기,“우유 마실까 물 마실까?”라고 묻고 말로 대답하게 하기,의사 표현과 문장 사용이 자연스럽게 늘어난다,언어 / 소통,,,,
30,사물의 이름을 말하는 단어 확장 능력,,4,반복 이름 말하기,같은 사물을 여러 번 보여주며 이름을 반복해서 말해보기,단어 기억과 발화 빈도가 증가한다,언어 / 소통,,,,
30,사물을 다른 의미로 사용하는 상징 놀이 능력,,5,인형 밥 주기 놀이,블록이나 장난감을 음식처럼 사용해 인형에게 먹이는 시늉을 해보기,사물을 상징적으로 사용하는 능력과 상상력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
30,사물을 다른 의미로 사용하는 상징 놀이 능력,,5,물건 역할 바꾸기,컵을 전화기처럼 사용하는 등 물건의 역할을 바꿔 놀이해보기,사물의 용도를 확장해서 생각하는 창의적 사고가 자라난다,"인지 (학습, 사고, 문제 해결)",,,,
30,간단한 문제 해결 능력,,5,높은 곳 물건 꺼내기,손이 닿지 않는 곳에 물건을 두고 의자나 발판을 이용해 가져오도록 유도하기,도구를 활용해 문제를 해결하는 사고력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
30,간단한 문제 해결 능력,,4,숨은 물건 찾기,장난감을 살짝 숨겨두고 찾을 수 있도록 힌트를 주며 유도하기,목표를 기억하고 해결 방법을 찾는 능력이 강화된다,"인지 (학습, 사고, 문제 해결)",,,,
30,2단계 지시 이해 및 수행 능력,,4,두 단계 지시 따라하기,“장난감 치우고 문 닫아볼까?”처럼 두 가지 행동을 이어서 요청하기,순서를 이해하고 기억하는 능력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
30,2단계 지시 이해 및 수행 능력,,5,이어서 심부름 하기,“이거 가져와서 여기 놓아줘”처럼 두 단계로 구성된 심부름을 해보게 하기,기억력과 실행력을 동시에 사용하는 경험이 쌓인다,"인지 (학습, 사고, 문제 해결)",,,,
