,,,,,,,
만 0~5세,예) 1,,,,,예) 음식 추천 등,
아이 나이,월별,사회성 / 감정,언어 / 소통,"인지 (학습, 사고, 문제 해결)",움직임 / 신체 발달,그 외 (Tip),자료 출처*
2개월,2,말을 걸거나 들어 올리면 차분해진다,,,,,cdc
,2,상대의 얼굴을 바라본다,,,,,cdc
,2,아기에게 다가가면 좋아한다,,,,,cdc
,2,아기에게 말하거나 미소를 지을 때 미소를 짓는다,,,,,cdc
,2,,울음 소리 이외의 소리를 낸다,,,,cdc
,2,,시끄러운 소리에 반응한다,,,,cdc
,2,,,움직임에 따라 상대를 주시한다,,,cdc
,2,,,수 초 동안 장난감을 본다,,,cdc
,2,,,,배를 대고 엎드렸을 때 머리를 치켜든다,,cdc
,2,,,,양쪽 팔과 양쪽 다리를 움직인다,,cdc
,2,,,,손을 살짝 편다,,cdc
4개월,4,관심을 끌기 위해 스스로 미소를 짓는다,,,,,cdc
,4,아기를 웃게 하려고 할 때 싱긋(아직 완전히 웃지 않음) 웃는다,,,,,cdc
,4,주의를 끌거나 자신에게 집중하도록 하기 위해 상대를 바라보거나 움직이거나 소리를 낸다,,,,,cdc
,4,,"""우우"", ""아아""(옹알이)와 같은 소리를 낸다",,,,cdc
,4,,아기에게 말을 걸면 대답하여 소리를 낸다,,,,cdc
,4,,사람의 목소리가 나는 쪽을 향해 고개를 돌린다,,,,cdc
,4,,,배가 고프면 엄마 젖이나 우유병을 보고 입을 벌린다,,,cdc
,4,,,자신의 손을 관심 있게 바라본다,,,cdc
,4,,,,아기를 안고 있을 때 머리를 받쳐주지 않아도 머리를 흔들림 없이 유지한다,,cdc
,4,,,,손에 장난감을 놓으면 그것을 쥔다,,cdc
,4,,,,팔을 사용하여 장난감을 흔든다,,cdc
,4,,,,손을 입으로 가져간다,,cdc
,4,,,,배를 대고 엎드렸을 때 팔꿈치/팔뚝으로 몸을 밀어 올린다,,cdc
6개월,6,친숙한 사람을 안다,,,,,cdc
,6,거울에 비친 자신의 모습을 보는 것을 좋아한다,,,,,cdc
,6,웃는다,,,,,cdc
,6,,상대와 번갈아 가며 소리를 낸다,,,,cdc
,6,,“메롱”을 한다 (혀를 내밀고 투레질을 함),,,,cdc
,6,,꽥꽥 소리를 낸다,,,,cdc
,6,,,물건을 탐색하기 위해 입 안에 넣는다,,,cdc
,6,,,원하는 장난감을 잡으려고 손을 뻗는다,,,cdc
,6,,,더 이상 먹고 싶지 않으면 입을 다문다,,,cdc
,6,,,,뒤집기를 한다,,cdc
,6,,,,배를 대고 엎드렸을 때 팔을 곧게 펴고 몸을 위로 밀어 올린다,,cdc
,6,,,,앉아 있을 때 손으로 기대어 몸을 지탱한다,,cdc
9개월,9,"주변에 낯선 사람이 있으면 수줍어하거나, (귀하에게) 달라붙어 있거나, 두려워한다",,,,,cdc
,9,"행복, 슬픔, 분노, 놀라움과 같은 여러 얼굴 표정을 보인다",,,,,cdc
,9,아기의 이름을 부르면 쳐다본다,,,,,cdc
,9,"귀하가 아기를 떠날 때 반응한다 (바라보거나, 손을 뻗거나 운다)",,,,,cdc
,9,까꿍놀이를 할 때 미소를 짓거나 웃는다,,,,,cdc
,9,,"“마마마마”, “바바바바” 등의 다양한 소리를 낸다",,,,cdc
,9,,귀하가 들어올릴 수 있도록 팔을 든다,,,,cdc
,9,,,시야에서 물체가 사라지면 찾는다 (예: 숟가락 또는 장난감),,,cdc
,9,,,두 개의 물건을 맞부딪친다,,,cdc
,9,,,,스스로 앉은 자세를 취한다,,cdc
,9,,,,한 손에서 다른 손으로 물건을 옮긴다,,cdc
,9,,,,손가락을 사용하여 음식을 자신 쪽으로 “긁어” 모은다,,cdc
,9,,,,남의 도움 없이 앉는다,,cdc
12개월(1년),12,짝짜꿍과 같은 게임을 함께 한다,,,,,cdc
,12,,"""안녕""하며 손을 흔든다",,,,cdc
,12,,"부모를 “마마”, “빠빠” 또는 다른 특별한 이름으로 부른다",,,,cdc
,12,,"""안돼""를 이해한다 (안된다고 말하면 잠시 멈추거나 중단함)",,,,cdc
,12,,,컵 안에 블록을 넣듯이 용기에 무엇인가를 넣는다,,,cdc
,12,,,담요 밑의 장난감을 찾듯이 귀하가 숨기는 것을 찾는다,,,cdc
,12,,,,물건을 잡고 일어선다,,cdc
,12,,,,가구를 잡고 걷는다,,cdc
,12,,,,컵을 잡아 주면 뚜껑이 없는 컵에 있는물을 마신다,,cdc
,12,,,,작은 음식 조각 같은 물건을 엄지와 검지를 써서 집는다,,cdc
15개월,15,다른 아이가 놀이를 할 때 장난감을 용기에서 꺼내는 것과 같이 다른 아이가 노는 것을 따라 한다,,,,,cdc
,15,자신이 좋아하는 물건을 보여준다,,,,,cdc
