"만 0~6세
- 개월수로 맞추기",,,,,,,,,https://www.notion.so/UX-_-33bb0573f8e2805cb57ce856c4417514?source=copy_link,
"예) 3세 -> 3
16개월",예) 5분 -> 5,예) 10분 아이컨텍,상세 미션 설명,예) 정서적 안정감,사회성 / 언어 / 인지 / 신체 발달,,,,"울타리형 / 가이드형 / 친구형 / 자율존중형

예)",
아이 나이,미션 수행 길이,미션 키워드,미션,효과,태그1,자료 출처*,,아이 나잇대별 목표,부모 유형,
12,5,짝짜꿍 노래 게임,"아이와 마주 앉아 ""짝짜꿍"" 노래를 부르며 손뼉을 마주치는 게임을 3회 반복한다. 아이가 먼저 손을 내밀면 반응을 크게 해준다.","상호작용의 즐거움을 인식하고, 타인의 행동에 맞춰 반응하는 사회적 동기화 능력을 키운다.",사회성,CDC. (2023). Developmental Milestones: 12 Months. cdc.gov/ncbddd/actearly,,,,
12,5,까꿍 숨바꼭질,"손이나 수건으로 얼굴을 가렸다가 ""까꿍!"" 하며 나타나기를 5회 반복한다. 아이가 기대하는 표정이 나타나면 즉시 반응해준다.","대상 영속성 개념을 강화하고, 기대-반응 사이클을 통해 사회적 예측 능력과 애착 관계를 발달시킨다.",사회성,"Gopnik, A., Meltzoff, A., & Kuhl, P. (1999). The Scientist in the Crib. William Morrow.",,,,
12,7,공 주고받기,"부드러운 공을 아이에게 굴려주고 아이가 돌려보내길 기다린다. ""이번엔 OO 차례"", ""이번엔 엄마 차례""라고 말하며 순서 개념을 알려준다.",차례를 기다리는 순서 교대 능력을 훈련해 향후 또래 관계의 기초를 마련한다.,사회성,"Tomasello, M. (1995). Joint attention as social cognition. In Moore & Dunham (Eds.), Joint Attention. Erlbaum.",,,[태그1] 카테고리,자료 출처
12,5,표정 따라하기,아이와 거울 앞에 앉아 기쁨·놀람·슬픔 표정을 과장되게 지어 보인다. 아이가 따라 하면 즉시 박수로 호응한다.,"감정 인식 및 모방 능력을 발달시키고, 타인의 표정을 읽어내는 공감 기반 사회성을 형성한다.",사회성,CDC. (2023). Developmental Milestones: 12 Months. cdc.gov/ncbddd/actearly,,,#사회성,CDC (미국 질병통제예방센터) — 발달 마일스톤 공식 기준
12,3,손 흔들어 인사하기,"방에서 나갔다 들어올 때마다 ""안녕~"" 손 흔들기를 반복 연습한다. 아이가 먼저 손을 흔들면 과장된 반응으로 즉각 보상한다.","사회적 의례(인사)를 학습하고, 몸짓으로 의사를 전달하는 비언어적 소통 능력의 기반을 쌓는다.",사회성,"Bates, E. et al. (1979). The Emergence of Symbols. Academic Press.",,,#언어,AAP (미국소아과학회) — 소아 언어 발달 가이드
12,5,박수 함께 치기,"노래나 리듬에 맞춰 박수를 치며 아이가 따라 하도록 유도한다. 아이가 박수를 치면 ""잘했어요!"" 하며 함께 기쁨을 나눈다.",공동 주의와 공유된 기쁨 경험을 통해 타인과 감정을 나누는 사회적 참여 능력을 키운다.,사회성,"Tomasello, M. (2003). Constructing a Language. Harvard University Press.",,,#인지,ASHA (미국 언어청각협회) — 수용/표현 언어 발달 기준
12,7,장난감 건네고 받기,"장난감을 아이에게 건네며 ""고마워""라고 말하도록 유도하고, 아이가 건네면 ""고마워!""라고 응답한다. 3~5회 반복한다.
","주고받는 상호작용을 통해 사회적 교환의 개념을 형성하고, 감사 표현과 사회적 규범의 초기 인식을 발달시킨다.",사회성,"Hay, D. F. (1979). Cooperative interactions between very young children. Child Development, 50(1), 246–252.",,,#신체 발달,WHO — 글로벌 아동 발달 마일스톤
